caseID,verbatim
1,"FIRST OBJECTIVE WAS TO WIPE OUT ECONOMIC SYSTEM, SECOND TO KILL THE POLITICAL LEADERS OF THE COUNTRY, THIRD DEMORILIZE THE POPULAS//NO"
4,STOP THE CONTROL OF POWER OF PRESIDENT BUSH IN THE WORLD//NO
5,they were trying to show our vulnerability than anything else//they'll stop at nothing//no
7,TERROR//PANIC//FEAR//NO
8,"cause more caious in the world//they are trying to ALA back, radical muslims//no"
11,"THAT THEY WERE TRYING TO SCARE THE CITIZENS OF THE UNITED STATES, AND R FEELS THAT THEY SUCCEEDED//NO"
12,"TO SHOW THAT THEY HAD CONTROL OF OUR COUNTRY//THEY DON'T LIKE BUSH AND THAT WAS A STRIKE AGAINST HIM, SO THEY CAME AFTER OUR COUNTRY//IR FEELS BUSH IS BAD"
14,I think they were probably trying to start a war.
15,I WATCHED THAT..I SAW THE PLANES WHEN THEY CRASHED IN// I THINK THEY WANTED TO SHOW THE POWER THEY HAD AND TO SHOW A THREAT TO OUR FORM OF GOVERNMENT//
16,To show their own power and incite fear in us.  I don't think they realized at that time what that was going to do to us economically.
17,i think they were trying to show us that they aren't scared of us... that they aren't scared to kill us// they were just trying to prove they're not scared of the U.S.// they don't care for our beliefs// they don't care... by killing a whole bunch of us at one time... they don't care// i doubt they're going to take over... i highly doubt that// i think they were trying to do what their religion... their god told them to do// they thought the people deserved to die//
19,"THE TERRORISTS WERE TRYING TO STRIKE AT THE CORE OF OUR BELIEFS, BUT DESTROYING OUR SEAT OF GOVERNMENT - BOTH THE STRUCTURE AND THOSE WITHIN IN, AND OUR MILITARY BY DESTROYING THE PREMIERE STRUCTURE OF IT AND THE PEOPLE IN IT, TO PUT FEAR INTO THE HEARTS OF THE AMERICANS AND COWER US... MAKE US AFRAID, AND DISRUPT OUR ECONOMY AT THE SAME TIME// AND REDUCE OUR STANDING INTERNATIONALLY//"
20,I think they were trying to cause dissension in America... and to prove that they could do it.
21,spiritual peace// a promise of something good for doing their duty... //
22,attention//no
23,saying the united states is weak
25,they were trying to bring down the united states
27,to scare the people of the united states and show he world how weak we are
32,let you know we are vulnerable
33,to jab a stick into our side
34,put fear into America
36,trying to attract attention
38,DISRUPT OUR POLITICAL AND ECONOMIC STRUCTURE
39,get across that they are a threat to the US people
40,to bring down our government
41,expose the U.S. vulnerability
44,let the american public know that we are in reach and there could be more terrorist attacks
45,to destroy the government
48,take revenge or response to the US having military bases in the middle east
49,make us fearful
54,attention
57,economic problems
59,to getthe government to notice them and they like to be in control
61,show that we can be hurt
63,take nus of power and finantial distruction
64,<DK>
66,to send a messge about how much american policies are hated by their groups and to make the american people afraid\\no
68,"i do not agree that there were terrorists, i'm not sure, i'm pretty sure but i don't answer that\\no"
69,i think they were trying to express rage but i'm not sure about what\no
71,i think they were trying to show the world that they were at war with the us\and to cause as much damage as they could\no
74,i'm not sure\\no
75,i think they were carrying out orders\\no
76,i think our govt was behind it and was trying to establish the climate of fear to go into iraq\no
77,"i guess for staraters to get the americans out of the muslim holy lands in the middle east,to seek revenge for insults americans made against the islamic faith, damage the american economy,to i guess make americans feel some of the fear that people in the middle east feel, \\ i think they were trying to be faithful to their religious creed and get into heaven \\no"
81,kill alot of people
82,making a statement//that tey can
83,"they crashed in the wrong place, I think they were after the president, I think they were on the wrong course"
87,THEY WERE TRYING TO DESTROY THE WHITE HOUSE AND THAT AREA AND TO KILL THE pres
