caseID,verbatim
3,his family
16,"I think he has a lot of new ideas, and even tho I don't think when you're president you can't always implement your ideas... but the fact that he has new ideas and can communicate them means that some of those things might actually happen.  We can always find new ways to do things.  I loved his selction for his running mate.  I watched the panels during the primaries and I think Joe Biden did the best of everyone.  He has many of the same strength as mcCain in terms of experience and working with all types of people.  I think he was a great choice.  i like the way he's energized the young voters... we need them.  He's a wonderful communicator and a wonderful role model for a lot of young black me... he is someone they can look at and say ""maybe I want to be like him."" He's been as positive as you can be - although some of his ads have been negative too.  I know he's amart enough to put together the right people to know what he needs to know if he's elected.... looks like he's going to be.  Between Barack Obama and Hillary clinton... I know all things she's done for children in the past... I would have voted  for her before Barack Obama.  Usually the Democrats 
are more willing to fund when it comes to health and human services."
19,Probably more of the social aspects of his campaign.
33,"i like reteric, talks a good game"
34,"this ideas and columist, he seems to have a good have a good head on his shoulder, time for black president"
36,my sorority sisters like obama and they influence me
37,"helps everybody, wall street, his view are different, like when clinton was ;in office, not raising taxes, health care sounds alright"
47,he would be a change being african american
48,he seems to not always say the same old thing
49,he makes you feel good about what can happen
55,fresh blood wanthing change
58,he is honest
59,change
62,pro life
64, he can solve the financial problem
66,"he seems to be optimistic, intelligent, interested in some of thhe same things i'm interested in and in the very least interested in things being differnt than they have been"
68,"appropriate tax appropriations, anti-war, fiscally prudent, fair and honest"
69,"i first got interested in him because he had a way to capture people attention, that we had been missing before, i got excited about the possibility of a groundswll, well since i have been very pleased with the way he handles all kinds of things, i believe he attempts to stay on the issues as opposed to the other people"
71,no
75,the whole change time for it i'd love to see it
77,"i like that he was a constitutional law professor, that he knows the constitution, i feel like he has really thlought out and made a responsible plan for both foreign and domestic policy and i like that he is trying to bring people together and gain consensus"
79,"i think he's ;more for the people, i think he sees the struggle that is going on in america now, i think he would make more of a difference and john mccain doesn't see them, i think he would do more"
80,has the right views about the way the country should go.
89,I was impressed that he opened up the electorial vote to many people
93,"obama goes w/ the decmocratic decisions, not independent enough,too much along party lines"
97,HIS STAND ON HEALTH CARE AND TAXES
98,that he is a democrat
100,totally completely new
101,I redspect his heritage
104,seems to want to take of country and people who need i
109,he seems like a better person than john mc cain
114,he is going to help the hispanics
119,"he's gung ho, sounds like he's no hold barred, down to earth, he's not the one always talking smack"
121,"i think it's time for a change. and i also believe that he deserves a chance to make that change and with him in office i think things will change, and i think we as a people can make a difference and make history, i hope and pray that he would do the best he can to make that change.and i think i'm just glad to see this change in my lifetime."
123,health care views
127, well he young mab he tryin to chanage thindg he forthe midlle class we need some one new for chanage
131,i want a dem no t arep and someone young for chanage
138,black president
143, he med he family veale
146,his particular views on issues
147,i think it would be good if we had a president that was not anglo saxon prodastant.
151,he may get rid of the tax incentives to companies who have moved over seas.
153,he has a certain style and appeal that can be appealing if it had some substance behind it.
157,change.
158,his tax plan is another thing i like.
160,like his stance on issues
163,I like his take on the war. My sister is in the [REDACTED MILITARY] and I want out of the war as soon as possible
166,economic plan for creating energy
171,"i want to see some changes, he's a different race, i'm interested to see what will happen in this election"
173,"we need a change, i think he is more of a hope for the nation"
175,"from diverse backgroung, minority, raised by single mom, mixed culteral background, educated"
176,"the way he was raised, better idea about broken families, multiracial, problems they';ve had, money, he can relate to the average person,likes the way he presents himself, that he is young and can relate to younger people, and bring them into politics and make changes in our world and global development"
178,"democrat,McCains position on the war,social programs,don't like McCain"
