caseID,verbatim
10,"they are more intouch with the average american family, they are more concerned about the have-nots more than the rep. party is"
17,"i was raised to be a Democrat..., I really don't know... I've heard it's like... the Democratic people, they don't make much and the Republicans... they make more but they don't want people to make more..."
19,"The exact opposite of the Republicans.  The Democrats have always been the party of the people.  They understand that when the individual fails, or the local government fails, someone has to step up and help.  I think the Democratic party is traditionally the party that works better internationally... builds better alliances."
23,they like to work more with the middle class
24,they're more liberal and I'm very liberal thinking
25,they deal with problems in our country andthey have the potential to deal more with foreings problems but they take care of the people in america first
26,there for universal health insurance
34,"they are for the labor union, for the lower class people"
37,more conservative
39,they are geared more towards younger people
40,they are not mean spirited and our open minded
43,They give more to the average people than the rich.
48,how they handle the environment
51,more open minded
55,more social and envitomentaly consius
58,care more about the people
65,"i think they are environmentally conscious, i think their tendency is to provide support for the common person, i think they are more socially liberal, and they favor regulation of corporations,"
66,their ideas about health care and personal freedom and responsibility to the community their ideas about how to protect the environement their general health care policies
67,i don't approve of what they are doing i don't know if i can answer that
68,"ali;gned with my politics, more liberal agenda, right to choose, proper beneafits for proper taxes, more positive gay rightds stance"
73,everything
74,"are more for the people,more for the working class people,and they are for the poor people that need the healthcare services, and for our schools, education,"
75,"seems to be more choice for the people,"
77,"i like that they are trying to be responsibve to the needs of the people, i like their ideas on health care, foreign policy, mostly their energy policy is good, and i think they are more tolerant of different views,"
80,likes that they want to help the poor
81,THEY'RE MORE LIBERAL
88,their track record when it comes to economy and jobs
97,THEIR VIEWS ON HEALTH CARE AND TAXES
98,they care more for the middle to lower class
101,"help a broad spectrum of people, more willing to help"
105,what they're trying to do is what I want to see happen 98% of the time
108,they favor the working people and middle class people.
115,cause democratics are for Obama and dont know to much more about them
118,I THINK THEY'RE INTERESTED IN OTHER PEOPLE'S LIVES AND THE ECONOMY. I THIN THEY'RE PRETTY FAIR IN A LOT OF THEIR ISSUES THAT HAPPENING AROUND THE WORLD
121,"i think they're stand more for the people, since i'm from a poor background"
138,to me they seem to be about the people.
