caseID,verbatim
10,"R feels he will provide a diferent direction for the country, a better direction more positive, in the area of unifying the country."
21,"change... he promises change.  no, i'm mixed.  i'm half and half."
22,"He's got a lot of good, He's going to be good"
23,"he's positive,intelligent"
24,hes handsome and smart
25,he represents the minority and has the potential to be our next president and at a young age he's accomplished alot and experience is a big issue on making decisions and I feel he's capable of making those desicions
26,his stand on the iraq war
27,to better the economy
30,"young, new and fresh"
32,"lack of experience,too long running election,too much negaqtive going back and forth"
35,he is well spoken and thought out.  he was that way before running for president.
38,I like his bleifs and policies.
40, he will make the rest of the world look at us more favorably than McCain
41,he's more connected with the younger people
43,I like his style
44,"he is a minority he is a family man, educated and single parent family upbringing. more liberal in social structures.  he'll bring change to the country and not 4 more years of Busy  country needs a fresh start"
46,he has a positive approach
50,He's into change
51,he's more of a diplomat  I like democratic issues they are more for the middleclass  i think he and his wife have integrity which is important
53,his age and his intelect
54,"he hold more of the youth vote, she likes that he is of a different race"
56,He's young with new ideas
57,to have a change
61,he is a minority and his age antusuiasm/  need some one with more energy
65,"intelligence/education, free thinker, quick learner, socially liberal, i think he is emotionally stable,"
70,"his personal story and background, his charisma, and his open views on the world, i would trust him to get adequagte support to govern"
73,his views on issues
74,"he's for change, he's for the people,"
76,"lots, one is just his knowledge  base and ability to vision into the future and not be stuck in the past, knowledge of constituional law, the fact that he is biracial and the image that will project about our country both in our country and with foreign countries,i just like his authenticity and judgemennt, picking biden was a really great selection, i also think his tendency to express agreement even with opponents and to acknowledge the strengths in people, rather than focus on the negatives"
78,his race or ethnicity
81,a change in the leading party
83,he wants a achange and we want a change
84,overall he would be a good president
85,what he says sounds good although I am afraid he's just as powerless as any other president
92,"he can bring more change, mccain will stay the same."
95,     like his background-family style and upbringing
96,he will help the economy
99,"charismatic, very intelligent, confident"
102,he would make change
106,his charisma
107,his policy on health care
108,he is a democrate. I like his view much better than Mc Cain on several issues.
111,i think he has been fair with his campaign and he is very strong with family issues.
113,he might make a better president
115,i think he will be a good president
116,I feel he has given much thought on how he can help the americsn citizens.He has laid out his economic plans re: healthcare & taxes. He seems like he is really trying to help the middle income barracket. Also he has interest in promoting education at all levels.
117,i think he will end the war
118,i like that he wants a change and he's interested in every day people. the issues we naturally need addressed
122,"i think he's very intelligent, he's got charisma"
124,health plan for everyone
126,1youth there was thing on the death pin
128, that he want to nget out of the war
132,inntell  pacension work well w/ poeple
135,he stand on the
136, some i think he is a inntell new young idea he commecom w/ most poeple
137, i think hes for the little guy
142,the Bush administration was a desaster.
150,     his choice for vice president
152,his race
154,he is a good statesman and communicator.
155,puts more emphisis on the middle class person.
156,"i think his is a great addition to him as the first lady, outspoken and self reliant."
159,"his energy, personal energy, and need for change"
162,"he's black, he's a minority,he's alot younger than mccain, he's closer to the younger, more important generation, he appeals to the money demographic, 18-35 male"
164,democrat
167,he is for the democrats and he is trying to make changes
168,"i like  his plans about imigrants, he is a difernt race it may be helpfull to change for diferent thing in america"
172,"the change about everything in th4e government,new ideas,new performs,in the system"
179,"not doing politics as ususal, work together idea"
180,personable
181,his position on changes he wants to make
184,because I know mccain will raise taxes. Obama is more for the middle class
185,"universal healthcare, gay marriages, i am for that, tax, he was going to increaase the tax for people who made a certain amount of income"
188,"i'm hoping that his minroity experience in our society will sway him in his decisions about the majority of people in or society, instead of being concerned woth the elitist society, his minority in economic standards, he will be more sympathetic towards economically challenged individuals, which is the majority in our society.I'm against a small amt. of people having the majority of the wealth, which leads to the majority of controlof decisions in our society, whoi gets what"
193,I vote democrat.
195,his knowledge and demeaner
197,he likes him becouse he will change america
198,"he seems like an honest guy, with good intentions"
200,I like the fact that he is intelligent and cool headness and wanting to bring our kids home.   They are having to stay over there so long.  I preferred him over Hillary  because of Bill.
203,He is kind and represents change other than the Bush
206,"PROMETE COSAS BUENAS OARA LAS PERSONAS JUBILADAS AYUUDA CON EL MEDICRE,"
215," INTERES PO SERVICES, SCHOOLS, MEDEICAL ASISTANCE// NO"
216,"he' s method, stragtegis of change for our country"
219," his conversation to the people, his down earthness, the changes from the republican party"
