caseID,verbatim
1,THE ECONOMY IS FIRST
7,EXPERIENCE
10,ECONOMY
12,OUR ECONOMY
13,"foreign policies//the war in Iraq... if we should be there or come home//I think we need to withdraw slowly, not at one time//I don't think our military should be so spread out across the world//we should cut all foreign aid// we have too many people here"
14,I think it would be that people voted for Obama and did not know him.  I think he's been very secretive in his behaviour and I'm afraid we're in for some bad moments.  I believe that he's got people that are gonna be working with him that we have not hear
15,THE MAIN THING... I WAS AGAINST ABORTION// AND I STILL THINK THAT'S THE MOST IMPORTANT THING TO ME//
18,the economy//
22,unemployment
23,change
25,race
27,the immigration
31,the economy
32,budget crisis
34,healthcare
37,war
38,the economy
41,healthcare
42,government
44,gay and lesbian rights
45,the economy is bad and everything costs more
46,getting Bush out
48,environment
49,marriage
50,econony
51,the economy
57,unemployment
59,the economy
60,<DK>
63,the economy
67,the economy
73,war
74,the economy
76,diminishing the power of lobbyists and corporate america primarily in energy and health care
78,recovery from the bush administration
80,the deficit
85,our country's survival in General
86,i don't have one
90,prop 8
92,"the military, wanting them to come home"
93,health care
95,schools
104,the economy
107,The economy/hopes for a better economy and fixing the mess.
109,To get us out of debet.
110,"the deficite,//war and taxes.//"
111,fair elections-/showing that the candidates care about the people/
114,The situation of immigration/to be able to work here and to get their papers to work  here./
116,the economy/in terrms of peoples investments for their retirements and morgages./
117,/Presidential election/
120,lowering taxes
121,that obama would win
122,the economy/preventing a recession/
123,"the propositions for // 2 , 8,4 in ca"
127,economy
129,getting the two years of campaigning over with.
132,healthcare
134,economy
137,gun control.
139,redistribution of wealth. // he wants to raise taxes and give significant credit to those who do not even pay taxes.  It is the isssue of socialism. //
141,national security
144,illigal immigration
146,the war in iraq
148,"none, just another day"
149,healthcare
153,character
157,foreign affairs
160,the war
162,family values
164,honesty
165,economy
166,the economy-/alternate energcy & alternate fuels/
172,the change in the system of the goverment
175,economy
181,economy
