caseID,verbatim
3, //IR does not recognize the name// 
9," R DOES NOT CARE TO GUESS, R HAS NEVER HEARD THAT NAME BEFORE "
10," R IS IS NOT FAMILIAR WITH THE PERSON, BUT HAS HEARD THE NAME// "
11, //ALABAMA POLITICIAN// 
13, don't know 
14, one of the big lawyers in the... my mind's gone black... they're all lawyers 
16, don't remember 
18, don't know 
19, CHIEF JUSTICE OF THE US SUPREME COURT 
22," IR does not recognize the name, has no guess "
24, works in the Congress// 
25, representative of republicans// 
29, enviorment 
31, not a clue 
32, supreme court 
35, don't know 
37, senator 
39, congressman 
40, Don't know 
43, congressman 
44, supreme court 
46, house of rep 
48, chief justice supreme court 
49, unknown 
50, judge 
52, evangelist 
55, don't know 
57, mayor 
60, don't know 
62, do't know 
65, environmental policy 
67, don't know 
69, us supreme court justice 
72, house of representatives 
73, i don't know that either 
75," no guess, no idea "
78, chief of staff 
80, senator or something 
82, senator 
85, don't know//never heard of him 
87, don't know// don't know 
88, supreme court justice 
93, dk//congressman 
94," dk, never heard of him//dk "
95, i couldn't tell you//i couldn't tell you honestly 
96, something having to do w/ govt 
103, I don'yt know 
104, head Supreme court justice  
107, senator 
110, congressman 
112, democratic 
115, candidate 
117, congress 
118, i don't know him// i hope he's a right choice for whatever he does 
119, just dose not know 
121, i have the faintest idea//is he a congress or in the senate//i don't know 
122, secretary of homeland security? 
126, supreme court justice 
128, no idea 
132, supreme court 
133, no idea 
135, no idea 
138, no idea 
141, prime minister of australia 
146, don't know no guess 
147, senator 
151, u.s. supreme court justice 
153, supreme court justice 
155, no idea 
156, lawyer 
158, state official 
162," i think he is a senator, isn't he? "
163, dont know 
165, don't know//tv financial offider 
166, senate 
168, dk 
170, dk 
172, don't know 
174, don't know//not suoreme court/dk/no 
177, don't know//dk 
179, chielf justice of supreme court 
180, don't know//dk 
181, supreme court 
183," sounds like a democrat, don't know what he does//he is  a democrat in congress or the senate "
184," i don't even know who that is//i couldn't say , don't know who he is "
187, <RF> 
190," don't know, //don't know "
193, secretary of defense 
194, just dosent know 
197, millitary 
198," isn't he a supreme court judge, isn't he? "
201, republican office//a good one 
203, don't know//religious something 
205, supreme court justice 
206, d/k//no 
207, representative 
208, dk//dk 
213, dont know 
218, No clue. 
219, us senate 
221, dont know  
223, republican//i can't think 
226, dk//dk 
230, senator 
233, senator 
234, dk 
237, don't know//congressman 
242, dk//dk 
243, cHIEF jUSTICE OF sUPREME cOURT 
246, dk//dk//no 
247, Dk//dk 
249, DK//DK 
252, nothing comes to mind 
253, supreme court justice 
254, state congress man 
258," dont know, senate from what state I dont know "
259, no idea 
261, house of representatives 
264, democrat 
266, NO GUESS 
267," i dont know, i think he is , no  "
271, dont know 
272, supreme court justice--head justice 
273, <RF> 
275, advisor to somebody or else he is an evangelical preacher 
278, senator 
281, never heard of him either financial 
282, representative 
286, house of representatives 
287, chief justice of the united states 
289, prime minister of canada 
292, governor 
294, supreme court justice 
299, I don't know// no guess 
301, i don't know 
303, i don't know who that is 
306, all these names I don't know 
307, I don't know// no 
308, I don't know him 
310, I don't know 
315, i don't know 
318, I never heard 
321, I don't know what those people are who they are 
323, no no clue 
324, canidate in primary//senator maybe//don't know 
326, don't know//democrat//no 
327, supreme court justice 
328, don't know//no 
331, no idea//no clue//no 
335, no idea//no 
339, don't know//no 
341, supreme court justice 
342, don't know//no 
344, don't know 
345, supreme court justice 
347, chief justice of the US supreme court 
349, congress or military or some judge 
352, //no//no 
353, don't know//no 
356, undecided 
358, //no 
360, supreme court judge 
361, dk//no 
362, supreme court 
365, judge 
366, dk//no 
367, no idea 
370, senate 
374, have no idea 
375, supreme court justice 
377, rep. whip 
378, cna;t recall  
380, mayor 
382, supreme court justice 
383," ""//"" guess congress "
387, i dont know who he is 
389, senator 
390, coulnt tell you 
392, senator 
394, supereme court justice 
395, prime minister of Australia 
400, dk//no 
401, //no 
402, federal gov 
404, don't know//no 
405, supreme court 
406, supreme court chief justice 
