caseID,verbatim
1,"social issue standings such as homesexual marriage, abortion rights,"
3,"they are concerned with the economic situation,and the poverty stricken and those less fortunate,"
16,the way they understand and vote that understanding on health and human services... like Chris Dodd - the way he works for and speaks out for children.
22,"I like some of their running mates,I grew up Dem."
28,favortism towaeds healthcare issues n the people of the country as a whole
30,previous experience tells me that things are better with the democrats in office.
35,they pay lip service to the environment
38,they think of the public
41,they seem to be more focused on poverty
44,they embrace the majority which is a broader spectrum of the population.  social views are more in line with mine.
47,they finally got a candidate who could win
50,they are for more government
52,they help the economy more than the republicans
54,"they like a bigger governmet, they want privided aid to people that need it"
56,they are going to make change and make it better
57,trial and error
59,economy and war
61,more liberal then they been
69,"i believe they genuinely try to be inclusive and to look out for people with fewer resources,"
70,"the fact tht i believe they will take care of not only the top part of the country but will take care of the people who need to be rewarded for their work, focus on foreign policie3s and diplomacy restore image and credibility of us in the world, focus on health care for everybody, and regulation as far as economy is concerned to prevent situation like we are in now"
71,"and the dems are better on environ,ment issues"
72,"they tend to think about the people more, they got more issues resolved,"
76,"incliusiveness, diversity, concern for social policies, perpspective on tasxes and who outght to be paying bigger share, openness to debate, more of a tendency to be empowering and positive, lets say constructive and positive rather than negative and judgmental, particularly i like the policy relative to gay rights, more favorabel to democrats their, health care policies, programs and energy policies, foreign relations attitude,"
78,no
79,"they are more liberal and they are not perfect but i feel like they gauge correctly in a tempermatic system and make the best decisions they can, you can't make everybody and you have to make the best decisions for the whole classroom of people and the republican party doesn't look at it like that"
83,like what he says about taxes
84,they think about everybody around the world
85,"they're idealism, they think they can take care of everybody"
87,they seem to want to help more of the low income
89,when we have had dem leaders they have led us in a good way
91,health care issues
92,the republicans make more money then lower class being helped by democrats
95,think they can clean up the mess the republican made
100,care more for the unskilled and uneducated
104,THEY DO WHAT IT TAKES TO RUN THE COUNTRY
106,respect towards civil rights
110,how they handle health and welfare
111,they think more about the people and are more humain.
113,they do alittle bit better for the minority people
116,to me the democratic party represents the party of choice or options-meaning they try to give all people rights.
122,i think they are trying to help the middle class and the poor.
123,I have similar views with them
131,more lib towards the thepoeple
132,socal walfare  & right to choice  & i all so like
135,pullin out of the war
136,party for the younger people
144,freedow
146,it is a more liberal party
151,they are pro abortion.
156,better schooling that addresses real life and is competive with the rest of the world.
157,that they are not republican
158,they balance the budget and can still provide great services for the people who need it.
167,they want to make changes and we need change
170,better newws for the people
173,i think that all the nation is going to be better
175,for the middle class
176,"they give more vision for the average person in America, have more specific plans for education, and environments,health care"
177,general position on the economy
181,they were for the working class
188,"fundamental belief in equal opportunity and supporting it , supporting the minority. believe in investing in the infrastructure of the u.s. and that promotes investing in the people who live in the u.s."
193,The views are not conservative.
197,"he likes that he provide good education, stable economic"
198,"they seem to favor and support minorities, they care for the environment, care for healthcare,"
200,I like they seem to be on same page even with the republicans.  I don't vote for any partt
205,"domestic agenda, environent,"
206,"MAS A AYUDAR A LOS IMIGRANTES, CLASE MEDIA, MAS POR NOSOTROS LOS QUE TENEMOS MENOS,"
212,tHEY CARE MORE ABOUT MIIUDLLE AND LOWER CLASS AS RICH.  mORE SINCERE  AND WANT THE LOWER CLASS PEOPLE TO MAKE IT
216,i am in favor of all the ideals they have
218,I like how they look out for the little people in the coutry. They handle the taxes complately different.
219,"all the things they are trying to improve, the economy, to change the country, bringing our kids back from war, they are being killed for nothing, working more for the blue collar people than the white collar people, giving more opportunities"
221,"THEY DO REPRESENT A VAST POLITICAL PARTY, THAT COVERS ALL RACES. AND MALE AND FEMALE FROM ALL WALKS OF LIFE. GAY AND LESBIAN"
225,"the care that they have for the middle class, keep good jobs in america, healthcare for everyone"
228,the more for the people
229,"has probabilities for middle class,"
233,like way they are dealing with the health care
236,I think that they at least talk more what they want.  Help the middle class and working class more.
238,"they do tend to try to help the community a bit more, everyone has to agree, it 's ablend , wish there were more options than just two, i would like ralph nader, i'd like more time to think about the issues, can't wait til i graduate to have time for other things"
240,In this election it is the best for the country
248,"High Ideals admirable I feel, compassionate"
249,Seem to me for more the regular perosn
251,I was raised Democratic and my parents were democrats and saved them from starvation.  I always agree with what they have done.  A party of the people more than republicans
254,they more concern about the average person then what the think rich person
256,"theyre liberal, they sometimes go too far with abortion and homosexuality aspects"
258,"health care, iraq war and bringing the trpoops home  but going back into Afghanistan"
259,they try to mhelp people
261,THEY SEEM A LITTLE BIT MORE FOR THE WORKING CLASS PEOPLE LIKE ME
263,they always fight for human rights and equal rights it seem that they are more concerned about Hispanics
272,"tried to reform health plans,concious of the environment, more effort in getting out of the war"
274,"usually like their positions on enviromental, womens rights"
275,they seem more labor oriented rather than corporate oriented  they seem to be on the side of the working class the middle class rather than the gazillionaires
278,overall cost of living is better with the democrats
279,and of course the democratic party selexted barack obama
282,no
285,it feels like kinder people to me
287,i feel the democratic party is the party of inclusion.  i feel that they embrace different ideas and care a great deal about the majority of americans
290,they seem to try to side with the underdog as much as possible.
292,that they are for the people
294,i tend to agree with them more often on issues specifically foreign policy and energy policies
295,"more liberal views regarding separation of church and state, education and higher education initiatives and funding, focusing on social welfare"
299,they are for the people
300,leaning towards helping the middle class than the upperclass
303,"the are more the people looking for there best interest, like social security, healthcare"
305,"they care for the minorities, and there are alot of things they are trying to do, like working in favor of the people, medical for people give alot of support to the people"
309,they are trying something different
311,the democrats are for the people
314,the same as the republicans
315,gun control// no
316,there focus on enviromental issues
317,people oriented
321,im one
328,"i LIKE THAT THE TRY TO BE LESS ELITISS, THINK ABOUT THE PEOPLE MIDDLE CLASS, MORE AND MORE ADDRESS GENDER, AGAINST THE WAR.THEY HAVE  BEEN MORE OPEN TO MULTIRACIAL,"
330,their stance on the enviroment
331,they have more optimizim and they are not politics as usual
336,SEEM VERY HOPEFUL PROVIDE EQUAL BENIFITS AND STANDARD OF LIVING FOR EVERYONE
341,striving for peace
344,they seem to be more caring about the population at large.
347,"they fight for th little guy , the middle class, they put them above the rich and powerful"
348,i like their healthcare program that it will be more reasonable cost wise for people
350,they support my views
351,democratic
352,"for working people, not for big business, more in favor of women's rights, health care, taxes way economy should be ran"
353,"helping people sr citizens with medical, children with medical more gov involvement"
355,"they're usually less conservative than republicans, they're usually much more apt to be in favor of something like universal health care, just a little more in line with my beliefs"
356,"everything, the way they think"
362,tend to appeal to more varied groups
363,middle class people- who needs the help
364,"not big money lovers, more sincere to lower ses and minorities, more likely to show prejudeice and gender bias, good past record when running the show"
367,the government helps the people
372,"not so conservative, open minded"
378,"get the boys out of iraq, end the war, and keep the money in the us. and not other countries."
379,for the lower income people
388,care more for the people
392,more for everybody
397,go for the people that cannot afford a lot of things.
399,liberal nature social program concentration
402,candidates
403,more truthful
405,"values like mine, we party"
408,some nice people
409,pro abortion
412,focus on ecology-care more about environment-stance on social care and health care
413,"their views on health care, economy, war in Iraq, education"
418,"Theyre more for the middle class/more jobs, raise the minimum wage/"
421,they're more people oriented/they have more social reforms and that kind of thing/
423,"i like the way their campaign is appealing to a certain demoraphic they're going for, the vision of their campaign to the people is put together well/i like the fact that a black american is running for office/"
426,"the economy seems to run better with the democratic party/inflation, unemployment lower, taxes seemed to be less increased/less government spending/"
428,"It seems like they have more of focus on what's going on in the US/they focus more on economics here at home vs overseas policies--there needs to be a balance, but i don't think either party can balance/their prolife"
431,"Ted kennedy got up an gave a speech, looked pretty ornery/They might be considered humorous/TM/We have a dark side of the moon issue, let's see how they really act, are they in the future or are they still feeling what they felt 150 years ago, there was something on the radio that they're going to assassinate them, who wants that"
433,"it's looks like they are putting more effort on the real issues instead of the cash value of everybody else.  They pretty much want to help people who need the help, a lot of people are democrats and it must be for a particular reason/neihborhoods like thisl, people who need help with their kids, fixing properties, roads, rebuilding building, construction, pretty much every president has just set aside/they are just trying to concentrate on the low class community"
437,"They seem to care more aqbout personal issues like health care and education, they seem to show a more genuine care, plus they seem to want to end the war/"
439,"because they have always wanted to do more for middle class and underprivileged people, poor, because they represent more what you are as a person, not always about money, money, money/I like that they are in agreement with unions for work/some of their ideas on imigartion reform/like when clinton was in office he tried to do more to help people in Mexico get permits, went out of his way to try to help them, never talked bad about the Hispanic race--any democrats for that matter.  I met Al Gore in person.  I just like the way they think/"
446,"They support the national health, they look to support and care for all citizens, regardless of how much their annual income is/"
448,"They work more for the little people, with health and all the issues that are on the ballot, if you odn't have good health insurance, I don't know how someone after they are retired can make a living, by the time they get to social security they don't have money to pay for their medicine.   We'll have more money in our pockets/it's just the working class entity"
449,"I agree with their views 85% of the time, identify with their views/the war in Irasq, the economy, gay rights, abortion, education, health care , taxes/"
450,"I like their views on tax systems, helping the poor with medicare, most of their social aspects, and I really like Baracks plan for student loans and helping everyone get to college/social aspects?  They views on prochoice stuff/no"
451,"they help the little guys through the economy - help with welfare checks, etc"
455,the party is more for the people and they are more reasonable
464,"equalism for the whole world, they're looking for ways for everyone to be on the same level not only economically but in all things."
465,"i like their original creed of helping the underman the poor,the man left behind.  i still have a view of the dem party of when i learned about JFK which was a favorable view, they used to be a party that used to care about the common man."
