caseID,verbatim
3,abortion
4,ECONOMY
5,character//no
8,morals
9,//THERE REALLY HASN'T BEEN ONE//ILLEGAL IMMIGRATION
11,THE ECONOMY
16,the economy... before even the fall... you could just see people losing their jobs.  It has had a dreadful effect on homelife - because of the stress the economy is causing.  The children suffer a great deal and they're the innocent ones.
17,no
19,THE ECONOMY//I THINK THE PROBLEM THAT WE'VE HAD WITH THE ECONOMY BEING INFLATED BY FALSEHOODS... THAT IT WAS MORE SMOKE THAN SUBSTANCE...// THAT IT HAS BEEN PERPETRATED BY THOSE WHO KNEW BETTER... WHO HAD THINGS TO GAIN PERSONALLY FROM IT// IT'S EXACTLY T
20,I would say keeping government small.
21,fairness// it seems to me that obama is wanting to bridge the gap with everyone... that there's no color barrier// no
24,health care and immigration reform and help in getting country together//no
28,qualifications that was the one thing that was taken least consideration in this election
29,border crisis
30,just getting someone in office who could stimulate confidence and the economy
33,economy
35,health care
36,election would be free of color discriminiation
39,the economy
40,war
43,the budgets
47,the economy
52,the economy
54,health care
55,changing in leadership of the new president
56,jobs
61,taxes
62,the economy
64,economy
65,gay marriage
66,spending less on the military
68,"fairness in the ability to have a free and honest election, no voter fraud"
69,i believe in this election there was a chance to change things
71,i believe that our society would be greatly improved with more economic equality and i voted for the democrats even though they are not progressive enough for me and the republicans have worked so hard over the past 8 years widening the gap between rich a
72,the economy
75,no specific issue
77,ending the war in iraq
79,the animals law
81,the economy
82,retirements
83,"a black won to be president, I hope he makes it in there"
87,health insurance
88,moral breakdown that the democrats are willing to accept such as prop 8 which I am against
89,"THE CHANGE WE'RE GOING TO HAVE IN TEH ECONOMY, I'M CURIOUS TO SEE HOW HE'S GOING TO FIX IT"
94,the budget
96,gas prices
98,PROPOSITION 8 SAME GENDER MARRIAGE
99,Proposition 8
101,Barack Obama's education
103,1st black president and I am excited for him
105,none
106,th eeconomy
108,"The economy/the housing economy, you hear about people losing their houses almost every wekk and those are people i know./"
112,immigration
113,Having a new president.
115,about immigration//people should be aloowed to work no matter what their immigration status is//and also to stop the war//for people to have more jobs many people are losing their jobs.//
118,the economy//to get us back on the page of having jobs
119,equal rights for blue collar people
124,restoration of our nations creditability/i feel that over last eight years we have damaaged our relationship with other countries that have been our friends in the past./
125,raising taxes
126,the economy
128,who the president will be
130,healthcare
131,dealing with economic disparity
133,gov spending
135,the war
138,healthcare
145,the economy
147,experience
150,economy
151,the direction of our foreign policy as to the war in Iraq.
152,moral conscience of the nation
155,recession
156,"a new future for american, an improved future for america."
158,prop 8
161,California prop 8
163,<DK>
167,"helping others in jobs and benefits, medical"
168,to obtain a new precident
169,economy
170,to get better in many aspect in this state
171,precident elections
173,yung and fresh mind
174,military
176,change of direction in gov't
177,economy
178,economy
179,Prop 8
180,national security
182,abortion
185,"proposition 8, whether to ban gay marriage in ca"
186,what to expect in the future
189,job security
192,prop 8
193,education
195,making positive changes in the government-(economy)
197,tax reduce
199,i feel like the president was elected by the color of his skin instead of his qualifications and this is wrong
200,The Economy and How to Handle
205,taxes
206,the promise about insurance//health// education//no
207,economy
209,economy
210,prop 8
213,dont know
214,unemployment and economy
216,enconomy
218,Race.
219,the economy
222,JUST TO GET DEMOCRAT BACK IN OFFICE// NO
223,economy
228,"propotition 8, gay marrage//"
229,imigration//
234,election of obama
236,tHE eCONOMY
238,healthcareh
239,Probably the security
240,The Economy
241,Proposition 8
243,tAX pOLICY//bEING RETIREe AND PAY TAX ON SOCIAL SECURITY AND CAPITAL GAINS// TAXING 401k HAS BEEN MENTIONED
245,wAR IN TH mIDDLE eAST
246,For who would be the next President
249,oUR COUNTRY COULD GO ALONG LIKE IT IS.  fREEDOM WAS MOST IMPORTANT
254,economy
255,RIGHT NOW THE ECONOMY
