caseID,verbatim,1,2,3,4,11,12,15,16,21,23,24,95,96,97
1," SHE IS A REPRESENATIVES IN THE HOUSE OF CONGRESS, FROM THE DISTRICT OF SAN FRANSCO, AND IS CURRENTLY THE SPEAKER OF THE HOUSE ",1,0,0,0,0,0,0,1,0,0,1,0,0,0
3, //speaker of the house// ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4, HOUSE SPEAKER FOR U.S. CONGRESS OR SENATE ,0,1,0,0,0,0,0,1,0,0,1,0,0,0
5, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7, SPEAKER OF THE HOUSE ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8, she is a congressmand out of California ,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9, SHE IS ON THE SENATE ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10, SPEAKER OF THE HOUSE ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11, SHE IS THE SPEAKER OF THE HOUSE ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12, SPEAKER OF THE HOUSE ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13, Head of the House of Representatives ,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14, she presides over the ... what's that called... the senators and so forth. ,0,0,0,0,0,0,0,0,0,1,1,0,0,1
15," SHE'S SECRETARY OF STATE, RIGHT?  SHE'S THE ONE WHO'D BE PRESIDENT IF THE PRESIDENT AND VICE PRESIDENT DIES.  i KNOW WHAT HER DUTIES ARE... BUT i CAN'T THINK OF THE NAME OF HER OFFICE.  SHE'S THE ONE I DON'T LIKE.// GOSH i HOPE SHE DOESN'T GET TO BE PRESIDENT// ",0,0,0,0,0,0,0,0,0,0,1,1,0,1
16, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17, DON'T KNOW ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18, don't know ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19, SPEAKER OF THE HOUSE ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21," i don't know// i'm not really up to date// i need to be more informed,but I'm not//no ",0,0,0,0,0,0,0,0,0,0,0,1,1,1
22, IR does recognize the name but does not have a guess as to what office she now holds. ,0,0,0,0,0,0,0,0,0,0,0,1,0,1
23, senate//no ,0,0,0,0,0,0,0,0,0,0,1,0,1,0
24, speaker of the house(friend knew not respondent ,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25, senator ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27, has no idea// ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28, congresswoman in Ca. 8th district// ,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29, heard the name but dk//no ,0,0,0,0,0,0,0,0,0,0,0,1,1,1
30, Secretary of State ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31, federal reserve ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35, Speaker of the House ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36, no idea ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39, house of representatives ,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40, Speaker of the House ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41, I don't know ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42, santa clause ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43, senator ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44, governor of Alaska ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45, Mayor ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46, mayor ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47, governor ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49, Speaker of the House ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50, chief justice ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51, chairman of the senate ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54, I don't know ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56, she's from arizona ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57, senator ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59, don't know ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61, don't know ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62, dont know ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63, don't know ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64, Senator ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66, majority leader ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67, speaker of the house ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68, majority leader of house of reps ,0,0,0,0,1,0,0,0,0,0,0,0,0,0
