caseID,verbatim,1,3,4,11,23,24,95,96,97
1, //DIRECTOR OF FEMA ,0,0,0,0,0,1,0,0,0
3, //IR does not recognize the name at all// ,0,0,0,0,0,0,1,0,0
4, WHO IS GORDON BROWN? ,0,0,0,0,0,0,1,0,0
5, IR does not have a guess ,0,0,0,0,0,0,1,0,0
7," IR DOES NOT EVEN KNOW WHO HE IS, CAN NOT GUESS ",0,0,0,0,0,0,1,0,0
8," IR does not have a guess, IR has heard the name before. not sure ",0,0,0,0,0,0,1,0,1
9," R HAS NO IDEA, COULD BE A BUS DRIVER FOR ALL SHE KNOWS, NEVER HAS HEARD THAT NAME BEFORE ",0,0,0,0,0,1,1,0,1
10, R IS NOT FAMILIAR WITH THE NAME OR PERSON//NO ,0,0,0,0,0,0,1,1,0
11," // R CAN'T MAKE A GUESS, HIS NAME IS TOTALLY UNFAMILIAR TO HER//NO ",0,0,0,0,0,0,1,1,0
12, RECOGNIZE THE NAME/BUT IR DOES NOT KNOW WHAT OFFICE HE NOW HOLDS ,0,0,0,0,0,0,1,0,1
13, don't know ,0,0,0,0,0,0,1,0,0
14, i'm not familiar with him ,0,0,0,0,0,0,1,0,0
15, DON'T KNOW ,0,0,0,0,0,0,1,0,0
16, don't remember ,0,0,0,0,0,0,1,0,0
17, DON'T KNOW ,0,0,0,0,0,0,1,0,0
18, don't know ,0,0,0,0,0,0,1,0,0
19, DON'T KNOW ,0,0,0,0,0,0,1,0,0
20, no idea ,0,0,0,0,0,0,1,0,0
21, don't know ,0,0,0,0,0,0,1,0,0
22," IR does not recognize the name, no guess ",0,0,0,0,0,0,1,0,0
23, senate// ,0,0,0,0,0,1,0,0,0
24, works in the white House?//James brown relative?// ,0,0,0,0,1,1,0,0,0
25, judge//   ,0,0,0,0,0,1,0,0,0
27, no idea// ,0,0,0,0,0,0,1,0,0
28, congressman// ,0,0,0,0,0,1,0,0,0
29, financial advisor ,0,0,0,0,0,1,0,0,0
30, Military ,0,0,0,0,0,1,0,0,0
31, not a clue ,0,0,0,0,0,0,1,0,0
32, don't know ,0,0,0,0,0,0,1,0,0
33, prime minister of Canada ,0,1,0,0,0,0,0,0,0
34, i don't know ,0,0,0,0,0,0,1,0,0
35, don't know ,0,0,0,0,0,0,1,0,0
36, don't know ,0,0,0,0,0,0,1,0,0
37, senator ,0,0,0,0,0,1,0,0,0
38, secretary of something ,0,0,0,0,0,1,0,0,0
39, secretary of defense ,0,0,0,0,0,1,0,0,0
40, don't know ,0,0,0,0,0,0,1,0,0
41, I don't know ,0,0,0,0,0,0,1,0,0
42, democrat ,0,0,0,0,0,1,0,0,0
43, congressman ,0,0,0,0,0,1,0,0,0
44, no idea ,0,0,0,0,0,0,1,0,0
45, judge ,0,0,0,0,0,1,0,0,0
46, senator ,0,0,0,0,0,1,0,0,0
47, governor ,0,0,0,0,0,1,0,0,0
48, prime minister of England ,1,0,0,0,0,0,0,0,0
49, no clue ,0,0,0,0,0,0,1,0,0
50, chief justice ,0,0,0,0,0,1,0,0,0
51, no guess ,0,0,0,0,0,0,1,0,0
52, judge ,0,0,0,0,0,1,0,0,0
54, I don't know ,0,0,0,0,0,0,1,0,0
55, don't know ,0,0,0,0,0,0,1,0,0
56, senate ,0,0,0,0,0,1,0,0,0
57, senator ,0,0,0,0,0,1,0,0,0
59, dn't know ,0,0,0,0,0,0,1,0,0
60, I don't know ,0,0,0,0,0,0,1,0,0
61, don't know ,0,0,0,0,0,0,1,0,0
62, don't know ,0,0,0,0,0,0,1,0,0
63, don't know ,0,0,0,0,0,0,1,0,0
64, Senator ,0,0,0,0,0,1,0,0,0
65, school board ,0,0,0,0,0,1,0,0,0
66, prime minister of britain ,1,0,0,0,0,0,0,0,0
67," can't guess i'm sorry, i don't remember ",0,0,0,0,0,0,1,0,1
68, prime minister of england ,1,0,0,0,0,0,0,0,0
69, draw a complete blank ,0,0,0,0,0,0,1,0,0
71, i can't rememe\ber ,0,0,0,0,0,0,1,0,0
72, house committee supervisor ,0,0,0,0,0,1,0,0,0
73, i don't know ,0,0,0,0,0,0,1,0,0
74, don't know ,0,0,0,0,0,0,1,0,0
75," i don't know but i can guess, house/senate ",0,0,0,0,0,1,1,0,1
76, chancellor ,0,0,0,0,0,1,0,0,0
77, prime minister of united kingdom ,1,0,0,0,0,0,0,0,0
78, supreme court ,0,0,0,0,0,1,0,0,0
79, congressman ,0,0,0,0,0,1,0,0,0
80, house minority leadeer ,0,0,0,0,0,1,0,0,0
81, dk//chief of staff ,0,0,0,0,0,1,1,0,0
82, senator ,0,0,0,0,0,1,0,0,0
83, //doesn't ring a bell ,0,0,0,0,0,0,1,0,0
85," don't know//never heard of him, can't guess ",0,0,0,0,0,0,1,0,0
86, dk//i have no idea ,0,0,0,0,0,0,1,0,0
87, don't know ,0,0,0,0,0,0,1,0,0
88, atty general ,0,0,0,0,0,1,0,0,0
89, SENATOR ,0,0,0,0,0,1,0,0,0
90, dk//dk ,0,0,0,0,0,0,1,0,0
92, dk//governor ,0,0,0,0,0,1,1,0,0
93, dk// congressman ,0,0,0,0,0,1,1,0,0
94, dk//dk ,0,0,0,0,0,0,1,0,0
95," i can not answer that//i couldn't guess, dk ",0,0,0,0,0,0,1,0,0
96, something having to do w/ the senate ,0,0,0,0,0,1,0,0,0
98, senator ,0,0,0,0,0,1,0,0,0
99, dk//us rep ,0,0,0,0,0,1,1,0,0
101," don't know - doesn't ring a bell// sounds familiar but I DK,part of the cabinet ",0,0,0,0,0,1,1,0,1
103, i don't know ,0,0,0,0,0,0,1,0,0
104, prime minister of England ,1,0,0,0,0,0,0,0,0
105, <RF> ,0,0,0,0,0,0,0,1,0
106," dk//no, dk ",0,0,0,0,0,0,1,1,0
107, senate ,0,0,0,0,0,1,0,0,0
108, senator ,0,0,0,0,0,1,0,0,0
109, small business organization ,0,0,0,0,0,1,0,0,0
110, advisor to prsident ,0,0,0,0,0,1,0,0,0
111, secretary ,0,0,0,0,0,1,0,0,0
112, demoncratic ,0,0,0,0,0,1,0,0,0
113, /white house/ i guess ,0,0,0,0,0,1,0,0,1
114, Really dosnt know/representative/ ,0,0,0,0,0,1,1,0,0
115, //no idea at all//  ,0,0,0,0,0,0,1,0,0
116, former director of FEMA ,0,0,0,0,0,1,0,0,0
117, house of representatives ,0,0,0,0,0,1,0,0,0
118," i don't know him, // don';t know ",0,0,0,0,0,0,1,0,0
119, just cant guess ,0,0,0,0,0,0,1,0,0
120, haven't heard about him  ,0,0,0,0,0,0,1,0,0
121, i don't know//i never heard the name ,0,0,0,0,0,0,1,0,0
122, congressman ,0,0,0,0,0,1,0,0,0
123," i have no idea//i don't know, never heard of him ",0,0,0,0,0,0,1,0,0
124, secretary of treasury ,0,0,0,0,0,1,0,0,0
125, don't know//congressw ,0,0,0,0,0,1,1,0,0
126, don't know ,0,0,0,0,0,0,1,0,0
127, no idea ,0,0,0,0,0,0,1,0,0
128, no idea ,0,0,0,0,0,0,1,0,0
129, don't know and don't care ,0,0,0,0,0,0,1,0,1
130, senator ,0,0,0,0,0,1,0,0,0
131, prime minister of English ,1,0,0,0,0,0,0,0,0
132, prime minister of england ,1,0,0,0,0,0,0,0,0
133, no idea ,0,0,0,0,0,0,1,0,0
134, don't know ,0,0,0,0,0,0,1,0,0
135, speaker of the house ,0,0,0,0,0,1,0,0,0
137, never heard of the guy. ,0,0,0,0,0,0,1,0,0
138, no idea ,0,0,0,0,0,0,1,0,0
139, prime minister of great britain ,1,0,0,0,0,0,0,0,0
141, prime minister of england ,1,0,0,0,0,0,0,0,0
144, senator ,0,0,0,0,0,1,0,0,0
145, no guess ,0,0,0,0,0,0,1,0,0
146, prime minister of england ,1,0,0,0,0,0,0,0,0
147, president's press secty ,0,0,0,0,0,1,0,0,0
148, sect of the treasury ,0,0,0,0,0,1,0,0,0
149, no guess at all ,0,0,0,0,0,0,1,0,0
150, prime minister of england ,1,0,0,0,0,0,0,0,0
151, prime minister of england ,1,0,0,0,0,0,0,0,0
152, prime minister of england ,1,0,0,0,0,0,0,0,0
153, prime minister of england ,1,0,0,0,0,0,0,0,0
155, chairman ,0,0,0,0,0,1,0,0,0
156, military ,0,0,0,0,0,1,0,0,0
157, congressman ,0,0,0,0,0,1,0,0,0
158, he's a congressman ,0,0,0,0,0,1,0,0,0
160, congress man ,0,0,0,0,0,1,0,0,0
161, don't know// ,0,0,0,0,0,0,1,0,0
162, don't know//don't have one ,0,0,0,0,0,0,1,0,0
163, dont know ,0,0,0,0,0,0,1,0,0
164, don't know ,0,0,0,0,0,0,1,0,0
165, don't know//dk ,0,0,0,0,0,0,1,0,0
166, house of representatives ,0,0,0,0,0,1,0,0,0
167, don't know who he is ,0,0,0,0,0,0,1,0,0
168, dk ,0,0,0,0,0,0,1,0,0
169, dk ,0,0,0,0,0,0,1,0,0
170, dk ,0,0,0,0,0,0,1,0,0
171, dk ,0,0,0,0,0,0,1,0,0
172, don't know ,0,0,0,0,0,0,1,0,0
173, dk ,0,0,0,0,0,0,1,0,0
174, don't know//dk ,0,0,0,0,0,0,1,0,0
175," don't know//majority leader,repulican?// ",0,0,0,0,0,1,1,0,0
176, don't know//dk ,0,0,0,0,0,0,1,0,0
177, don't know//no idea ,0,0,0,0,0,0,1,0,0
178, don't know//dk ,0,0,0,0,0,0,1,0,0
179, prime minister of great britian ,1,0,0,0,0,0,0,0,0
180, dont know//dk ,0,0,0,0,0,0,1,0,0
181, don't know//dk ,0,0,0,0,0,0,1,0,0
182, don't know//congressman ,0,0,0,0,0,1,1,0,0
183," its so familiar, don't know, //don't know, have no idea ",0,0,0,0,0,0,1,0,1
184, i don't know//i don't even know who that is ,0,0,0,0,0,0,1,0,0
