caseID,verbatim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,96,97
1,"FIRST OBJECTIVE WAS TO WIPE OUT ECONOMIC SYSTEM, SECOND TO KILL THE POLITICAL LEADERS OF THE COUNTRY, THIRD DEMORILIZE THE POPULAS//NO",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,striking fear in the US towards the Taliban//no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,STOP THE CONTROL OF POWER OF PRESIDENT BUSH IN THE WORLD//NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,they were trying to show our vulnerability than anything else//they'll stop at nothing//no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,TERROR//PANIC//FEAR//NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,"cause more caious in the world//they are trying to ALA back, radical muslims//no",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
9,FEAR//FEAR OF OUR SECURITY//NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,IT WAS A WAY OF TRYING TO DESTROY/MAKE A STATEMENT AGAINST AMERICAN GOVERNMENT AND PEOPLE//NO,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,"THAT THEY WERE TRYING TO SCARE THE CITIZENS OF THE UNITED STATES, AND R FEELS THAT THEY SUCCEEDED//NO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,"TO SHOW THAT THEY HAD CONTROL OF OUR COUNTRY//THEY DON'T LIKE BUSH AND THAT WAS A STRIKE AGAINST HIM, SO THEY CAME AFTER OUR COUNTRY//IR FEELS BUSH IS BAD",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
13,their hatred for out country trying to be big brother to the world and their countries//no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
14,I think they were probably trying to start a war.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,I WATCHED THAT..I SAW THE PLANES WHEN THEY CRASHED IN// I THINK THEY WANTED TO SHOW THE POWER THEY HAD AND TO SHOW A THREAT TO OUR FORM OF GOVERNMENT//,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,To show their own power and incite fear in us.  I don't think they realized at that time what that was going to do to us economically.,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,i think they were trying to show us that they aren't scared of us... that they aren't scared to kill us// they were just trying to prove they're not scared of the U.S.// they don't care for our beliefs// they don't care... by killing a whole bunch of us at one time... they don't care// i doubt they're going to take over... i highly doubt that// i think they were trying to do what their religion... their god told them to do// they thought the people deserved to die//,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
18,they didn't approve of the United States I guess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
